"mirna_id","padj"
"hsa-mir-518a-2, precursor",9.50749378192277e-08
"hsa-mir-942, mature,MIMAT0026734",1.11969990903748e-07
"hsa-mir-525, mature,MIMAT0002839",1.32836264172084e-07
"hsa-mir-519a-2, mature,MIMAT0002869",1.42881360069598e-07
"hsa-mir-522, precursor",1.66936401837798e-07
"hsa-mir-520a, precursor",1.68817039190366e-07
"hsa-mir-520d, mature,MIMAT0002856",1.68817039190366e-07
"hsa-mir-519a-1, mature,MIMAT0002869",2.49765947417485e-07
"hsa-mir-183, mature,MIMAT0004560",2.58171820730206e-07
"hsa-mir-519d, mature,MIMAT0026610",2.58171820730206e-07
"hsa-mir-7-1, mature,MIMAT0004553",2.58171820730206e-07
"hsa-mir-92a-1, mature,MIMAT0000092",2.58210612680284e-07
"hsa-mir-625, mature,MIMAT0004808",3.21956427597838e-07
"hsa-mir-584, mature,MIMAT0022708",3.41755213050284e-07
"hsa-mir-498, unannotated",3.43544608774915e-07
"hsa-mir-516b-1, mature,MIMAT0002859",3.43608835769972e-07
"hsa-mir-371a, precursor",3.82938876178392e-07
"hsa-mir-128-1, precursor",4.08594284898223e-07
"hsa-mir-521-1, unannotated",4.20568113224741e-07
"hsa-mir-548f-1, mature,MIMAT0005895",4.20568113224741e-07
"hsa-mir-1-2, mature,MIMAT0000416",4.21112531763035e-07
"hsa-mir-516a-2, precursor",4.21112531763035e-07
"hsa-mir-516b-2, mature,MIMAT0002859",4.68342827608578e-07
"hsa-mir-19a, mature,MIMAT0000073",4.83701579932884e-07
"hsa-mir-519e, mature,MIMAT0002828",5.13622508703309e-07
"hsa-mir-183, mature,MIMAT0000261",5.67627653126786e-07
"hsa-mir-520d, mature,MIMAT0002855",6.03158960740282e-07
"hsa-mir-517c, mature,MIMAT0002866",6.38528968092393e-07
"hsa-mir-516a-1, mature,MIMAT0004770",6.56810724430255e-07
"hsa-mir-518a-1, mature,MIMAT0005457",7.25564181280104e-07
"hsa-mir-135b, mature,MIMAT0004698",7.6464676197883e-07
"hsa-mir-3662, mature,MIMAT0018083",7.95669085596e-07
"hsa-mir-1-1, mature,MIMAT0000416",8.25256447418086e-07
"hsa-mir-522, mature,MIMAT0002868",9.14016104912741e-07
"hsa-mir-105-2, mature,MIMAT0004516",9.14016104912741e-07
"hsa-mir-516a-2, mature,MIMAT0004770",9.45021742260061e-07
"hsa-mir-519a-1, precursor",9.78362909795907e-07
"hsa-mir-302c, mature,MIMAT0000717",1.04431915629549e-06
"hsa-mir-32, precursor",1.24308720067655e-06
"hsa-mir-7974, mature,MIMAT0031177",1.24308720067655e-06
"hsa-mir-105-1, mature,MIMAT0004516",1.24308720067655e-06
"hsa-mir-642a, mature,MIMAT0003312",1.27664569796475e-06
"hsa-let-7f-2, precursor",1.36091776700926e-06
"hsa-mir-373, precursor",1.53705549671806e-06
"hsa-mir-18a, mature,MIMAT0000072",1.54615735618901e-06
"hsa-mir-130a, mature,MIMAT0004593",1.57817281649395e-06
"hsa-mir-1283-2, mature,MIMAT0005799",1.61776060013033e-06
"hsa-mir-526b, precursor",1.88368963440163e-06
"hsa-mir-518d, mature,MIMAT0002864",2.5782006310225e-06
"hsa-mir-4652, mature,MIMAT0019716",2.73215701706968e-06
"hsa-mir-30d, precursor",2.80761677324716e-06
"hsa-mir-16-2, mature,MIMAT0004518",3.21307150440229e-06
"hsa-mir-548j, mature,MIMAT0005875",3.21307150440229e-06
"hsa-mir-629, mature,MIMAT0004810",3.21307150440229e-06
"hsa-mir-520d, precursor",4.21196185321919e-06
"hsa-mir-24-1, mature,MIMAT0000079",4.29292717492443e-06
"hsa-mir-1283-2, precursor",4.4371033866638e-06
"hsa-mir-30d, mature,MIMAT0000245",4.68054504596088e-06
"hsa-mir-372, precursor",5.10688970355443e-06
"hsa-mir-3607, mature,MIMAT0017985",5.29087296311025e-06
"hsa-mir-671, precursor",5.29087296311025e-06
"hsa-mir-524, precursor",5.44124932228743e-06
"hsa-mir-25, precursor",6.25218935739354e-06
"hsa-mir-498, precursor",6.65857726550651e-06
"hsa-mir-523, precursor",7.19269152268666e-06
"hsa-mir-302a, precursor",7.6073402139741e-06
"hsa-mir-3614, mature,MIMAT0017992",7.6073402139741e-06
"hsa-mir-625, mature,MIMAT0003294",8.74767673507487e-06
"hsa-mir-767, mature,MIMAT0003883",8.94770764662168e-06
"hsa-mir-518c, precursor",9.34113930301343e-06
"hsa-mir-520f, mature,MIMAT0026609",9.96081970573829e-06
"hsa-mir-203a, mature,MIMAT0000264",1.00572641094409e-05
"hsa-mir-521-2, unannotated",1.00572641094409e-05
"hsa-mir-367, mature,MIMAT0004686",1.07317186649359e-05
"hsa-mir-548x, mature,MIMAT0015081",1.0924123304009e-05
"hsa-mir-5708, mature,MIMAT0022502",1.14583938372605e-05
"hsa-mir-98, precursor",1.20568537013349e-05
"hsa-mir-32, mature,MIMAT0004505",1.20821145332477e-05
"hsa-mir-142, mature,MIMAT0000434",1.30592549057244e-05
"hsa-mir-19b-2, mature,MIMAT0000074",1.32227367690982e-05
"hsa-mir-2113, mature,MIMAT0009206",1.32528820149019e-05
"hsa-mir-520e, unannotated",1.32528820149019e-05
"hsa-mir-19b-1, mature,MIMAT0000074",1.52377317734496e-05
"hsa-mir-30a, mature,MIMAT0000087",1.52444904221195e-05
"hsa-mir-1283-1, mature,MIMAT0005799",1.59795640287762e-05
"hsa-mir-20a, precursor",1.60546072220109e-05
"hsa-mir-302c, mature,MIMAT0000716",1.61262980779173e-05
"hsa-mir-505, precursor",1.69998803397432e-05
"hsa-mir-526a-1, unannotated",1.78618545480949e-05
"hsa-mir-19a, precursor",1.85196087239392e-05
"hsa-mir-19b-1, precursor",1.85196087239392e-05
"hsa-mir-142, mature,MIMAT0000433",1.89717860298131e-05
"hsa-mir-302d, precursor",1.90584190344371e-05
"hsa-mir-517a, precursor",1.9231868495762e-05
"hsa-mir-518f, precursor",1.9231868495762e-05
"hsa-mir-187, mature,MIMAT0000262",1.93519429046857e-05
"hsa-mir-527, unannotated",2.07863761340651e-05
"hsa-mir-517c, precursor",2.23563304893133e-05
"hsa-mir-5680, mature,MIMAT0022468",2.8572380293859e-05
"hsa-mir-521-1, mature,MIMAT0002854",3.25899259530611e-05
"hsa-mir-607, unannotated",3.28535866250746e-05
"hsa-mir-125b-2, mature,MIMAT0004603",3.368284462923e-05
"hsa-mir-142, precursor",3.73715154144011e-05
"hsa-mir-573, mature,MIMAT0003238",3.80741451142836e-05
"hsa-mir-190a, precursor",3.95439772990402e-05
"hsa-mir-146a, mature,MIMAT0000449",4.03741353116232e-05
"hsa-mir-1291, unannotated",4.72087410644242e-05
"hsa-mir-330, mature,MIMAT0004693",4.82728671209445e-05
"hsa-let-7e, mature,MIMAT0000066",4.83651393666305e-05
"hsa-mir-3660, mature,MIMAT0018081",4.83651393666305e-05
"hsa-mir-521-2, mature,MIMAT0002854",4.86873583738649e-05
"hsa-mir-3922, mature,MIMAT0018197",4.89240645460362e-05
"hsa-mir-99a, mature,MIMAT0000097",4.89240645460362e-05
"hsa-mir-152, mature,MIMAT0000438",5.31549260235383e-05
"hsa-mir-590, mature,MIMAT0004801",5.63641711160256e-05
"hsa-mir-6511b-2, mature,MIMAT0025848",5.699820176661e-05
"hsa-mir-141, mature,MIMAT0004598",5.73501972133589e-05
"hsa-mir-516b-1, precursor",6.45007491748197e-05
"hsa-mir-1293, unannotated",6.75652488239862e-05
"hsa-mir-493, precursor",6.76807687682021e-05
"hsa-mir-23a, precursor",7.18139185768702e-05
"hsa-mir-3191, mature,MIMAT0015075",7.46892308844481e-05
"hsa-mir-105-2, mature,MIMAT0000102",7.63923648841431e-05
"hsa-mir-105-1, mature,MIMAT0000102",8.37103704587695e-05
"hsa-mir-4517, mature,MIMAT0019054",8.73466995644582e-05
"hsa-mir-5008, mature,MIMAT0021040",8.73466995644582e-05
"hsa-mir-431, precursor",8.73597933760412e-05
"hsa-mir-6715a, mature,MIMAT0025841",9.10053320602211e-05
"hsa-mir-6509, mature,MIMAT0025474",9.29864642135544e-05
"hsa-mir-197, precursor",9.33728360213894e-05
"hsa-mir-5706, mature,MIMAT0022500",9.46371466140184e-05
"hsa-mir-182, precursor",9.98192422133479e-05
"hsa-mir-767, mature,MIMAT0003882",0.000119421068506564
"hsa-mir-3150b, mature,MIMAT0018194",0.000123679047844101
"hsa-mir-574, mature,MIMAT0003239",0.000125306647516472
"hsa-mir-7705, mature,MIMAT0030020",0.00012582525921041
"hsa-mir-374a, mature,MIMAT0004688",0.000127868824584445
"hsa-mir-133a-2, mature,MIMAT0000427",0.000137606171597714
"hsa-mir-490, mature,MIMAT0002806",0.000153327005224601
"hsa-mir-4772, mature,MIMAT0019927",0.000154510133452935
"hsa-mir-4433a, mature,MIMAT0020956",0.000155754126448839
"hsa-mir-505, mature,MIMAT0002876",0.000167059300765384
"hsa-mir-125b-2, mature,MIMAT0000423",0.000176336138592561
"hsa-mir-20a, mature,MIMAT0004493",0.000181236041296356
"hsa-mir-3653, mature,MIMAT0032110",0.000181236041296356
"hsa-mir-125b-1, mature,MIMAT0000423",0.000181952538254763
"hsa-mir-548t, mature,MIMAT0015009",0.000190104452926304
"hsa-mir-371a, stemloop",0.000191140625329239
"hsa-let-7c, mature,MIMAT0000064",0.000194680582972418
"hsa-mir-3680-1, mature,MIMAT0018107",0.000195058065279642
"hsa-mir-20b, precursor",0.000214021986795277
"hsa-mir-135b, mature,MIMAT0000758",0.000214171314150937
"hsa-mir-374b, mature,MIMAT0004956",0.000214171314150937
"hsa-mir-3614, mature,MIMAT0017993",0.000224359954343744
"hsa-mir-3942, mature,MIMAT0018358",0.000237134565681991
"hsa-mir-29b-2, mature,MIMAT0000100",0.00023742423522391
"hsa-mir-4758, mature,MIMAT0019903",0.000239804576470493
"hsa-mir-30c-1, precursor",0.000254178440956015
"hsa-mir-320a, precursor",0.000256621344917859
"hsa-mir-17, mature,MIMAT0000070",0.000257456880360244
"hsa-mir-29b-1, mature,MIMAT0000100",0.000260719155541159
"hsa-mir-17, precursor",0.000297863930867723
"hsa-mir-4791, mature,MIMAT0019963",0.000297863930867723
"hsa-mir-155, mature,MIMAT0004658",0.000314707541436084
"hsa-mir-98, mature,MIMAT0000096",0.000314707541436084
"hsa-mir-6501, mature,MIMAT0025458",0.000326141491667488
"hsa-mir-152, mature,MIMAT0026479",0.000335658020941569
"hsa-mir-1323, unannotated",0.000362004940269398
"hsa-mir-185, mature,MIMAT0004611",0.000368761184099728
"hsa-mir-210, mature,MIMAT0026475",0.000370893384262676
"hsa-mir-582, mature,MIMAT0003247",0.000389278296668438
"hsa-mir-409, precursor",0.000391932619055366
"hsa-mir-6810, mature,MIMAT0027521",0.000393114266655832
"hsa-mir-550a-2, mature,MIMAT0003257",0.000420186080648021
"hsa-mir-3651, mature,MIMAT0018071",0.000435049244447541
"hsa-mir-9-2, precursor",0.000435049244447541
"hsa-mir-133a-1, mature,MIMAT0000427",0.000444871271220987
"hsa-mir-26b, precursor",0.000453995644753704
"hsa-mir-3174, mature,MIMAT0015051",0.000473560702448915
"hsa-mir-7-2, mature,MIMAT0000252",0.000482433281650328
"hsa-mir-3653, mature,MIMAT0018073",0.000484010915653785
"hsa-mir-193a, mature,MIMAT0004614",0.000523018474605371
"hsa-mir-30a, mature,MIMAT0000088",0.000523018474605371
"hsa-mir-4658, mature,MIMAT0019725",0.000523018474605371
"hsa-mir-3140, mature,MIMAT0015008",0.000542896095488901
"hsa-mir-324, mature,MIMAT0000761",0.000545103829227002
"hsa-mir-6715b, mature,MIMAT0025843",0.000564770517803998
"hsa-mir-3940, mature,MIMAT0019229",0.00058699959982901
"hsa-mir-550a-3, mature,MIMAT0003257",0.000588972471559393
"hsa-mir-3529, mature,MIMAT0019828",0.000621163857690401
"hsa-mir-100, mature,MIMAT0000098",0.000622289710773733
"hsa-mir-210, mature,MIMAT0000267",0.000622289710773733
"hsa-mir-643, unannotated",0.000636118251605625
"hsa-mir-6511b-1, mature,MIMAT0025848",0.000660950089077313
"hsa-mir-616, mature,MIMAT0003284",0.000685772452033026
"hsa-mir-4755, mature,MIMAT0019896",0.000694170742797993
"hsa-mir-326, unannotated",0.000725808385961945
"hsa-mir-590, precursor",0.000728254336709719
"hsa-mir-147b, unannotated",0.000770466361753352
"hsa-mir-3940, mature,MIMAT0018356",0.000783791948435404
"hsa-mir-7-1, mature,MIMAT0000252",0.000809143189590194
"hsa-mir-92a-1, precursor",0.000809143189590194
"hsa-mir-30c-1, mature,MIMAT0004674",0.00082940364814179
"hsa-mir-421, unannotated",0.000829850746113359
"hsa-mir-4522, mature,MIMAT0019060",0.000882315947354011
"hsa-mir-4797, mature,MIMAT0019973",0.000894054119384162
"hsa-mir-1287, mature,MIMAT0005878",0.00093226238080652
"hsa-mir-639, mature,MIMAT0003309",0.000938941444711305
"hsa-mir-580, mature,MIMAT0026617",0.000944412409577907
"hsa-mir-744, precursor",0.000967567564029097
"hsa-mir-550a-1, mature,MIMAT0003257",0.000981237189643838
"hsa-mir-2116, mature,MIMAT0011160",0.00106617015151494
"hsa-mir-92a-2, mature,MIMAT0004508",0.00108663896834602
"hsa-mir-30c-2, mature,MIMAT0004550",0.00110685813371511
"hsa-mir-367, precursor",0.00114623810105608
"hsa-mir-7-3, mature,MIMAT0000252",0.00115915194854261
"hsa-mir-542, mature,MIMAT0003389",0.00119015971167739
"hsa-mir-874, precursor",0.00120239072613348
"hsa-mir-539, precursor",0.00125245765124172
"hsa-mir-1293, mature,MIMAT0005883",0.00126916648150843
"hsa-mir-30e, stemloop",0.00127814159970309
"hsa-mir-4445, mature,MIMAT0018963",0.00127961555904139
"hsa-mir-32, mature,MIMAT0000090",0.0013040446129777
"hsa-mir-134, mature,MIMAT0026481",0.00137280249404824
"hsa-mir-378a, mature,MIMAT0000732",0.00141853402060472
"hsa-mir-655, precursor",0.00142799148985673
"hsa-mir-876, precursor",0.00143055036179131
"hsa-mir-548f-4, mature,MIMAT0005895",0.0014695967488111
"hsa-mir-887, precursor",0.0014695967488111
"hsa-mir-5687, unannotated",0.00149174102670549
"hsa-mir-526a-2, precursor",0.00149174102670549
"hsa-mir-100, mature,MIMAT0004512",0.00149437067320559
"hsa-mir-25, mature,MIMAT0000081",0.00155605404313083
"hsa-mir-767, precursor",0.00157482366440188
"hsa-mir-7156, mature,MIMAT0028222",0.00162046063857024
"hsa-mir-579, mature,MIMAT0026616",0.00162629399874584
"hsa-mir-6875, mature,MIMAT0027650",0.00162629399874584
"hsa-mir-191, precursor",0.00162970261018457
"hsa-mir-5008, mature,MIMAT0021039",0.00163731216766442
"hsa-mir-1270, mature,MIMAT0005924",0.00164309624735148
"hsa-mir-1283-2, unannotated",0.00169947063525419
"hsa-let-7e, mature,MIMAT0004485",0.00172638051610023
"hsa-mir-26a-2, precursor",0.00182169885966483
"hsa-mir-146b, mature,MIMAT0004766",0.00187131535300495
"hsa-mir-3652, mature,MIMAT0018072",0.00188056494506529
"hsa-mir-4449, mature,MIMAT0018968",0.00188056494506529
"hsa-mir-6834, mature,MIMAT0027568",0.00192891949695831
"hsa-mir-202, mature,MIMAT0002810",0.00195217620583847
"hsa-mir-454, precursor",0.00195217620583847
"hsa-mir-148b, mature,MIMAT0000759",0.00195813873945738
"hsa-mir-5094, mature,MIMAT0021086",0.00196811589708908
"hsa-mir-4762, mature,MIMAT0019910",0.0019854493961684
"hsa-mir-130a, precursor",0.00210287055036
"hsa-mir-411, precursor",0.00210287055036
"hsa-mir-197, mature,MIMAT0022691",0.00216847520604393
"hsa-mir-6851, mature,MIMAT0027603",0.00216991859694959
"hsa-mir-377, precursor",0.00220278004992947
"hsa-mir-181b-1, mature,MIMAT0000257",0.00227864673447569
"hsa-mir-3937, unannotated",0.00227864673447569
"hsa-mir-128-1, mature,MIMAT0026477",0.00228430960211094
"hsa-mir-323a, precursor",0.00228622836568475
"hsa-mir-125b-2, precursor",0.00230445823222178
"hsa-mir-3679, mature,MIMAT0018104",0.00234792179858038
"hsa-mir-590, mature,MIMAT0003258",0.00237399783404575
"hsa-mir-641, unannotated",0.0024053675936337
"hsa-mir-181b-2, mature,MIMAT0000257",0.00244989823429966
"hsa-mir-135b, precursor",0.00252487216940654
"hsa-mir-582, mature,MIMAT0004797",0.00252992773172243
"hsa-mir-3653, stemloop",0.00252992773172243
"hsa-mir-181a-1, mature,MIMAT0000256",0.00253542739620475
"hsa-mir-3194, mature,MIMAT0019218",0.00253542739620475
"hsa-mir-1976, mature,MIMAT0009451",0.0025503634065909
"hsa-mir-29b-1, mature,MIMAT0004514",0.0025503634065909
"hsa-mir-181a-2, mature,MIMAT0000256",0.00258375070988888
"hsa-mir-320c-1, mature,MIMAT0005793",0.00258375070988888
"hsa-mir-23b, mature,MIMAT0004587",0.0025992909379952
"hsa-mir-193b, precursor",0.00266154607230644
"hsa-mir-4741, mature,MIMAT0019871",0.00272208664770201
"hsa-mir-199a-1, mature,MIMAT0000232",0.00283336731435572
"hsa-mir-199a-2, mature,MIMAT0000232",0.00283571089724424
"hsa-mir-199b, mature,MIMAT0004563",0.00283571089724424
"hsa-mir-150, mature,MIMAT0000451",0.00284197464764725
"hsa-mir-3655, mature,MIMAT0018075",0.00295242132081712
"hsa-mir-342, precursor",0.00301621103501305
"hsa-mir-512-1, precursor",0.00303614585517943
"hsa-mir-579, mature,MIMAT0003244",0.00304548732001498
"hsa-mir-410, precursor",0.00308632713364343
"hsa-mir-3938, mature,MIMAT0018353",0.00309247396214107
"hsa-mir-3137, mature,MIMAT0015005",0.00316376186782669
"hsa-mir-744, mature,MIMAT0004945",0.00321430159284184
"hsa-mir-4683, mature,MIMAT0019768",0.00321430159284184
"hsa-mir-376a-1, precursor",0.0033531647102307
"hsa-mir-7846, mature,MIMAT0030421",0.00343268082916271
"hsa-mir-542, mature,MIMAT0003340",0.00368160398706134
"hsa-mir-487b, precursor",0.00368207648146372
"hsa-mir-1303, unannotated",0.00368207648146372
"hsa-let-7e, precursor",0.00370191137115348
"hsa-mir-651, mature,MIMAT0003321",0.00381136687309071
"hsa-mir-3688-2, mature,MIMAT0018116",0.00389071685583181
"hsa-mir-16-1, precursor",0.00389071737678174
"hsa-mir-548n, mature,MIMAT0005916",0.00389071737678174
"hsa-mir-4999, mature,MIMAT0021018",0.00398048008758565
"hsa-mir-302b, precursor",0.00403275396548691
"hsa-mir-4787, mature,MIMAT0019957",0.00411822362236632
"hsa-mir-548s, mature,MIMAT0014987",0.00417372768120898
"hsa-mir-136, precursor",0.00420442819418823
"hsa-mir-3130-2, mature,MIMAT0014994",0.00420442819418823
"hsa-mir-185, mature,MIMAT0000455",0.00424857184019455
"hsa-mir-450b, mature,MIMAT0004909",0.00425293516500936
"hsa-mir-7161, mature,MIMAT0028232",0.00441073068645783
"hsa-mir-495, precursor",0.00443403663193543
"hsa-mir-512-2, precursor",0.00443403663193543
"hsa-mir-6737, mature,MIMAT0027375",0.00443403663193543
"hsa-mir-514b, mature,MIMAT0015088",0.00460483230093821
"hsa-mir-509-1, mature,MIMAT0004779",0.00467781427936914
"hsa-mir-96, precursor",0.00467781427936914
"hsa-mir-6507, mature,MIMAT0025470",0.00470596027037623
"hsa-mir-3926-2, unannotated",0.0048110691402693
"hsa-mir-624, mature,MIMAT0003293",0.0048110691402693
"hsa-mir-4727, mature,MIMAT0019847",0.0048110691402693
"hsa-mir-551b, precursor",0.0048110691402693
"hsa-mir-4772, mature,MIMAT0019926",0.00491077837395552
"hsa-mir-485, precursor",0.00497014783917091
"hsa-mir-101-1, mature,MIMAT0004513",0.00500344538836412
"hsa-mir-550a-2, mature,MIMAT0004800",0.00500344538836412
"hsa-mir-379, precursor",0.00500344538836412
"hsa-mir-382, mature,MIMAT0022697",0.00503965302991766
"hsa-mir-3912, mature,MIMAT0027036",0.00506143660196354
"hsa-mir-337, mature,MIMAT0000754",0.00506812579631081
"hsa-mir-4433a, mature,MIMAT0018949",0.00517279782388496
"hsa-let-7a-3, mature,MIMAT0000062",0.00518287519974992
"hsa-mir-99a, mature,MIMAT0004511",0.00528605084143144
"hsa-let-7a-1, mature,MIMAT0000062",0.00548708479978198
"hsa-mir-548au, mature,MIMAT0022292",0.00548708479978198
"hsa-mir-19a, mature,MIMAT0004490",0.00549851455372476
"hsa-let-7a-2, mature,MIMAT0000062",0.00557357528661685
"hsa-mir-4780, mature,MIMAT0019939",0.0055799117057559
"hsa-mir-3130-1, mature,MIMAT0014995",0.0056456239893533
"hsa-mir-33b, mature,MIMAT0003301",0.00579652517810683
"hsa-mir-548o-2, mature,MIMAT0005919",0.00586469337963601
"hsa-mir-365b, mature,MIMAT0022834",0.00591027454892348
"hsa-mir-365a, mature,MIMAT0000710",0.00593734609909371
"hsa-mir-1277, mature,MIMAT0005933",0.005954235592766
"hsa-mir-664a, mature,MIMAT0005949",0.00613282517100921
"hsa-mir-296, precursor",0.0062050401537013
"hsa-mir-3652, unannotated",0.0062050401537013
"hsa-mir-382, mature,MIMAT0000737",0.0062050401537013
"hsa-mir-141, stemloop",0.0062050401537013
"hsa-mir-133a-2, mature,MIMAT0026478",0.00622264299747031
"hsa-mir-136, mature,MIMAT0004606",0.00622264299747031
"hsa-mir-450a-1, mature,MIMAT0001545",0.00622264299747031
"hsa-mir-6750, mature,MIMAT0027401",0.00622264299747031
"hsa-mir-509-3, mature,MIMAT0002881",0.00622613281214951
"hsa-mir-151a, precursor",0.00625188283786798
