,source,type,score,phase,gene_type,gene_name,level,hgnc_id,havana_gene
ENSG00000004897.12,HAVANA,gene,,,protein_coding,CDC27,2,HGNC:1728,OTTHUMG00000166429.8
ENSG00000004948.16,HAVANA,gene,,,protein_coding,CALCR,2,HGNC:1440,OTTHUMG00000023599.7
ENSG00000004961.15,HAVANA,gene,,,protein_coding,HCCS,2,HGNC:4837,OTTHUMG00000021128.2
ENSG00000004975.12,HAVANA,gene,,,protein_coding,DVL2,2,HGNC:3086,OTTHUMG00000102155.5
ENSG00000005001.10,HAVANA,gene,,,protein_coding,PRSS22,1,HGNC:14368,OTTHUMG00000128961.3
ENSG00000005007.13,HAVANA,gene,,,protein_coding,UPF1,2,HGNC:9962,OTTHUMG00000183025.2
ENSG00000005020.13,HAVANA,gene,,,protein_coding,SKAP2,2,HGNC:15687,OTTHUMG00000023495.5
ENSG00000005022.6,HAVANA,gene,,,protein_coding,SLC25A5,2,HGNC:10991,OTTHUMG00000022715.3
ENSG00000005059.16,HAVANA,gene,,,protein_coding,MCUB,2,HGNC:26076,OTTHUMG00000161103.3
ENSG00000005073.6,HAVANA,gene,,,protein_coding,HOXA11,1,HGNC:5101,OTTHUMG00000023437.7
ENSG00000005100.13,HAVANA,gene,,,protein_coding,DHX33,1,HGNC:16718,OTTHUMG00000102041.3
ENSG00000005102.14,HAVANA,gene,,,protein_coding,MEOX1,2,HGNC:7013,OTTHUMG00000170513.3
ENSG00000005156.12,HAVANA,gene,,,protein_coding,LIG3,1,HGNC:6600,OTTHUMG00000128519.7
ENSG00000005175.10,HAVANA,gene,,,protein_coding,RPAP3,2,HGNC:26151,OTTHUMG00000169668.3
ENSG00000005187.12,HAVANA,gene,,,protein_coding,ACSM3,1,HGNC:10522,OTTHUMG00000131552.7
ENSG00000005189.20,HAVANA,gene,,,protein_coding,REXO5,1,HGNC:24661,OTTHUMG00000131556.5
ENSG00000005194.15,HAVANA,gene,,,protein_coding,CIAPIN1,1,HGNC:28050,OTTHUMG00000133457.8
ENSG00000005206.17,HAVANA,gene,,,protein_coding,SPPL2B,2,HGNC:30627,OTTHUMG00000180443.10
ENSG00000005238.20,HAVANA,gene,,,protein_coding,FAM214B,2,HGNC:25666,OTTHUMG00000019847.6
ENSG00000005243.10,HAVANA,gene,,,protein_coding,COPZ2,2,HGNC:19356,OTTHUMG00000178684.6
ENSG00000005249.13,HAVANA,gene,,,protein_coding,PRKAR2B,2,HGNC:9392,OTTHUMG00000137418.2
ENSG00000005302.19,HAVANA,gene,,,protein_coding,MSL3,2,HGNC:7370,OTTHUMG00000021132.13
ENSG00000005339.15,HAVANA,gene,,,protein_coding,CREBBP,1,HGNC:2348,OTTHUMG00000129431.7
ENSG00000005379.17,HAVANA,gene,,,protein_coding,TSPOAP1,2,HGNC:16831,OTTHUMG00000178923.5
ENSG00000005381.8,HAVANA,gene,,,protein_coding,MPO,2,HGNC:7218,OTTHUMG00000178922.3
ENSG00000005421.9,HAVANA,gene,,,protein_coding,PON1,2,HGNC:9204,OTTHUMG00000153894.4
ENSG00000005436.14,HAVANA,gene,,,protein_coding,GCFC2,1,HGNC:1317,OTTHUMG00000129989.5
ENSG00000005448.17,HAVANA,gene,,,protein_coding,WDR54,1,HGNC:25770,OTTHUMG00000129951.4
ENSG00000005469.12,HAVANA,gene,,,protein_coding,CROT,1,HGNC:2366,OTTHUMG00000023653.5
ENSG00000005471.19,HAVANA,gene,,,protein_coding,ABCB4,2,HGNC:45,OTTHUMG00000023396.20
ENSG00000005486.17,HAVANA,gene,,,protein_coding,RHBDD2,1,HGNC:23082,OTTHUMG00000156435.5
ENSG00000005513.10,HAVANA,gene,,,protein_coding,SOX8,2,HGNC:11203,OTTHUMG00000122101.4
ENSG00000005700.15,HAVANA,gene,,,protein_coding,IBTK,2,HGNC:17853,OTTHUMG00000015102.3
ENSG00000005801.18,HAVANA,gene,,,protein_coding,ZNF195,1,HGNC:12986,OTTHUMG00000011694.10
ENSG00000005812.11,HAVANA,gene,,,protein_coding,FBXL3,1,HGNC:13599,OTTHUMG00000017099.6
ENSG00000005844.19,HAVANA,gene,,,protein_coding,ITGAL,1,HGNC:6148,OTTHUMG00000176964.5
ENSG00000005882.12,HAVANA,gene,,,protein_coding,PDK2,1,HGNC:8810,OTTHUMG00000161948.18
ENSG00000005884.18,HAVANA,gene,,,protein_coding,ITGA3,2,HGNC:6139,OTTHUMG00000161890.7
ENSG00000005889.16,HAVANA,gene,,,protein_coding,ZFX,2,HGNC:12869,OTTHUMG00000021264.2
ENSG00000005893.16,HAVANA,gene,,,protein_coding,LAMP2,2,HGNC:6501,OTTHUMG00000022301.5
ENSG00000005961.19,HAVANA,gene,,,protein_coding,ITGA2B,2,HGNC:6138,OTTHUMG00000177935.5
ENSG00000005981.13,HAVANA,gene,,,protein_coding,ASB4,2,HGNC:16009,OTTHUMG00000153960.8
ENSG00000006007.12,HAVANA,gene,,,protein_coding,GDE1,2,HGNC:29644,OTTHUMG00000131454.7
ENSG00000006015.18,HAVANA,gene,,,protein_coding,REX1BD,1,HGNC:26098,OTTHUMG00000183112.1
ENSG00000006025.12,HAVANA,gene,,,protein_coding,OSBPL7,2,HGNC:16387,OTTHUMG00000178288.2
ENSG00000006042.12,HAVANA,gene,,,protein_coding,TMEM98,2,HGNC:24529,OTTHUMG00000132882.5
ENSG00000006047.13,HAVANA,gene,,,protein_coding,YBX2,2,HGNC:17948,OTTHUMG00000177992.3
ENSG00000006059.4,HAVANA,gene,,,protein_coding,KRT33A,2,HGNC:6450,OTTHUMG00000133432.2
ENSG00000006116.4,HAVANA,gene,,,protein_coding,CACNG3,2,HGNC:1407,OTTHUMG00000131651.1
ENSG00000006118.15,HAVANA,gene,,,protein_coding,TMEM132A,1,HGNC:31092,OTTHUMG00000167803.2
ENSG00000006125.18,HAVANA,gene,,,protein_coding,AP2B1,1,HGNC:563,OTTHUMG00000179924.5
