,source,type,score,phase,gene_type,gene_name,level,hgnc_id,havana_gene
ENSG00000109472.14,HAVANA,gene,,,protein_coding,CPE,2,HGNC:2303,OTTHUMG00000150252.4
ENSG00000109511.12,HAVANA,gene,,,protein_coding,ANXA10,2,HGNC:534,OTTHUMG00000161275.3
ENSG00000109519.13,HAVANA,gene,,,protein_coding,GRPEL1,2,HGNC:19696,OTTHUMG00000090495.3
ENSG00000109534.17,HAVANA,gene,,,protein_coding,GAR1,2,HGNC:14264,OTTHUMG00000161108.6
ENSG00000109536.12,HAVANA,gene,,,protein_coding,FRG1,1,HGNC:3954,OTTHUMG00000160202.25
ENSG00000109576.14,HAVANA,gene,,,protein_coding,AADAT,1,HGNC:17929,OTTHUMG00000160912.5
ENSG00000109586.12,HAVANA,gene,,,protein_coding,GALNT7,1,HGNC:4129,OTTHUMG00000160817.4
ENSG00000109606.13,HAVANA,gene,,,protein_coding,DHX15,2,HGNC:2738,OTTHUMG00000160304.2
ENSG00000109610.6,HAVANA,gene,,,protein_coding,SOD3,2,HGNC:11181,OTTHUMG00000128565.4
ENSG00000109625.19,HAVANA,gene,,,protein_coding,CPZ,1,HGNC:2333,OTTHUMG00000090513.14
ENSG00000109654.16,HAVANA,gene,,,protein_coding,TRIM2,1,HGNC:15974,OTTHUMG00000155991.7
ENSG00000109667.12,HAVANA,gene,,,protein_coding,SLC2A9,2,HGNC:13446,OTTHUMG00000044263.6
ENSG00000109670.16,HAVANA,gene,,,protein_coding,FBXW7,2,HGNC:16712,OTTHUMG00000185246.10
ENSG00000109674.4,HAVANA,gene,,,protein_coding,NEIL3,2,HGNC:24573,OTTHUMG00000160722.2
ENSG00000109680.11,HAVANA,gene,,,protein_coding,TBC1D19,2,HGNC:25624,OTTHUMG00000097797.5
ENSG00000109685.19,HAVANA,gene,,,protein_coding,NSD2,2,HGNC:12766,OTTHUMG00000121147.15
ENSG00000109686.19,HAVANA,gene,,,protein_coding,SH3D19,2,HGNC:30418,OTTHUMG00000154051.8
ENSG00000109705.8,HAVANA,gene,,,protein_coding,NKX3-2,2,HGNC:951,OTTHUMG00000090657.4
ENSG00000109736.15,HAVANA,gene,,,protein_coding,MFSD10,2,HGNC:16894,OTTHUMG00000122081.8
ENSG00000109738.11,HAVANA,gene,,,protein_coding,GLRB,2,HGNC:4329,OTTHUMG00000161954.2
ENSG00000109743.11,HAVANA,gene,,,protein_coding,BST1,1,HGNC:1118,OTTHUMG00000097739.3
ENSG00000109758.9,HAVANA,gene,,,protein_coding,HGFAC,2,HGNC:4894,OTTHUMG00000090281.7
ENSG00000109775.11,HAVANA,gene,,,protein_coding,UFSP2,1,HGNC:25640,OTTHUMG00000160441.5
ENSG00000109787.13,HAVANA,gene,,,protein_coding,KLF3,2,HGNC:16516,OTTHUMG00000097821.4
ENSG00000109805.10,HAVANA,gene,,,protein_coding,NCAPG,2,HGNC:24304,OTTHUMG00000128539.4
ENSG00000109814.12,HAVANA,gene,,,protein_coding,UGDH,1,HGNC:12525,OTTHUMG00000099371.6
ENSG00000109819.9,HAVANA,gene,,,protein_coding,PPARGC1A,1,HGNC:9237,OTTHUMG00000097747.3
ENSG00000109832.14,HAVANA,gene,,,protein_coding,DDX25,1,HGNC:18698,OTTHUMG00000165859.9
ENSG00000109846.9,HAVANA,gene,,,protein_coding,CRYAB,1,HGNC:2389,OTTHUMG00000166885.12
ENSG00000109851.7,HAVANA,gene,,,protein_coding,DBX1,2,HGNC:33185,OTTHUMG00000166043.3
ENSG00000109854.14,HAVANA,gene,,,protein_coding,HTATIP2,2,HGNC:16637,OTTHUMG00000166015.6
ENSG00000109861.17,HAVANA,gene,,,protein_coding,CTSC,2,HGNC:2528,OTTHUMG00000167290.4
ENSG00000109881.17,HAVANA,gene,,,protein_coding,CCDC34,2,HGNC:25079,OTTHUMG00000166211.3
ENSG00000109911.19,HAVANA,gene,,,protein_coding,ELP4,2,HGNC:1171,OTTHUMG00000142919.11
ENSG00000109917.11,HAVANA,gene,,,protein_coding,ZPR1,2,HGNC:13051,OTTHUMG00000046114.10
ENSG00000109919.10,HAVANA,gene,,,protein_coding,MTCH2,2,HGNC:17587,OTTHUMG00000166926.6
ENSG00000109920.13,HAVANA,gene,,,protein_coding,FNBP4,1,HGNC:19752,OTTHUMG00000166533.9
ENSG00000109927.11,HAVANA,gene,,,protein_coding,TECTA,1,HGNC:11720,OTTHUMG00000149908.4
ENSG00000109929.10,HAVANA,gene,,,protein_coding,SC5D,1,HGNC:10547,OTTHUMG00000166068.3
ENSG00000109943.9,HAVANA,gene,,,protein_coding,CRTAM,2,HGNC:24313,OTTHUMG00000166026.2
ENSG00000109944.11,HAVANA,gene,,,protein_coding,JHY,2,HGNC:26288,OTTHUMG00000166027.3
ENSG00000109956.13,HAVANA,gene,,,protein_coding,B3GAT1,2,HGNC:921,OTTHUMG00000167180.2
ENSG00000109971.14,HAVANA,gene,,,protein_coding,HSPA8,1,HGNC:5241,OTTHUMG00000166030.2
ENSG00000110002.16,HAVANA,gene,,,protein_coding,VWA5A,1,HGNC:6658,OTTHUMG00000165971.3
ENSG00000110013.13,HAVANA,gene,,,protein_coding,SIAE,2,HGNC:18187,OTTHUMG00000165926.3
ENSG00000110025.13,HAVANA,gene,,,protein_coding,SNX15,1,HGNC:14978,OTTHUMG00000037387.7
ENSG00000110031.13,HAVANA,gene,,,protein_coding,LPXN,1,HGNC:14061,OTTHUMG00000167466.3
ENSG00000110042.8,HAVANA,gene,,,protein_coding,DTX4,2,HGNC:29151,OTTHUMG00000167336.3
ENSG00000110046.13,HAVANA,gene,,,protein_coding,ATG2A,2,HGNC:29028,OTTHUMG00000066831.3
ENSG00000110047.18,HAVANA,gene,,,protein_coding,EHD1,1,HGNC:3242,OTTHUMG00000066832.18
ENSG00000110048.12,HAVANA,gene,,,protein_coding,OSBP,2,HGNC:8503,OTTHUMG00000167422.3
ENSG00000110057.8,HAVANA,gene,,,protein_coding,UNC93B1,1,HGNC:13481,OTTHUMG00000167472.5
ENSG00000110060.9,HAVANA,gene,,,protein_coding,PUS3,2,HGNC:25461,OTTHUMG00000165870.5
ENSG00000110063.10,HAVANA,gene,,,protein_coding,DCPS,2,HGNC:29812,OTTHUMG00000165829.4
ENSG00000110066.15,HAVANA,gene,,,protein_coding,KMT5B,1,HGNC:24283,OTTHUMG00000150484.8
ENSG00000110075.15,HAVANA,gene,,,protein_coding,PPP6R3,1,HGNC:1173,OTTHUMG00000167596.6
ENSG00000110080.20,HAVANA,gene,,,protein_coding,ST3GAL4,1,HGNC:10864,OTTHUMG00000165830.4
ENSG00000110090.13,HAVANA,gene,,,protein_coding,CPT1A,1,HGNC:2328,OTTHUMG00000167892.6
ENSG00000110092.4,HAVANA,gene,,,protein_coding,CCND1,1,HGNC:1582,OTTHUMG00000167877.4
ENSG00000110104.13,HAVANA,gene,,,protein_coding,CCDC86,2,HGNC:28359,OTTHUMG00000167706.4
ENSG00000110107.9,HAVANA,gene,,,protein_coding,PRPF19,1,HGNC:17896,OTTHUMG00000167798.3
ENSG00000110108.10,HAVANA,gene,,,protein_coding,TMEM109,2,HGNC:28771,OTTHUMG00000167801.2
ENSG00000110148.10,HAVANA,gene,,,protein_coding,CCKBR,1,HGNC:1571,OTTHUMG00000133380.4
ENSG00000110172.12,HAVANA,gene,,,protein_coding,CHORDC1,2,HGNC:14525,OTTHUMG00000167305.4
ENSG00000110195.14,HAVANA,gene,,,protein_coding,FOLR1,2,HGNC:3791,OTTHUMG00000167876.3
ENSG00000110218.9,HAVANA,gene,,,protein_coding,PANX1,2,HGNC:8599,OTTHUMG00000167757.2
ENSG00000110237.5,HAVANA,gene,,,protein_coding,ARHGEF17,2,HGNC:21726,OTTHUMG00000167971.4
ENSG00000110243.12,HAVANA,gene,,,protein_coding,APOA5,2,HGNC:17288,OTTHUMG00000046116.5
ENSG00000110244.7,HAVANA,gene,,,protein_coding,APOA4,2,HGNC:602,OTTHUMG00000046110.4
ENSG00000110245.12,HAVANA,gene,,,protein_coding,APOC3,2,HGNC:610,OTTHUMG00000046115.8
ENSG00000110274.16,HAVANA,gene,,,protein_coding,CEP164,1,HGNC:29182,OTTHUMG00000167070.6
ENSG00000110315.7,HAVANA,gene,,,protein_coding,RNF141,2,HGNC:21159,OTTHUMG00000165712.2
ENSG00000110318.15,HAVANA,gene,,,protein_coding,CEP126,2,HGNC:29264,OTTHUMG00000167319.4
ENSG00000110321.19,HAVANA,gene,,,protein_coding,EIF4G2,1,HGNC:3297,OTTHUMG00000165823.8
ENSG00000110324.11,HAVANA,gene,,,protein_coding,IL10RA,2,HGNC:5964,OTTHUMG00000166523.3
ENSG00000110328.6,HAVANA,gene,,,protein_coding,GALNT18,2,HGNC:30488,OTTHUMG00000165707.2
ENSG00000110344.10,HAVANA,gene,,,protein_coding,UBE4A,2,HGNC:12499,OTTHUMG00000168100.1
ENSG00000110375.3,HAVANA,gene,,,protein_coding,UPK2,2,HGNC:12579,OTTHUMG00000166346.2
ENSG00000110395.7,HAVANA,gene,,,protein_coding,CBL,2,HGNC:1541,OTTHUMG00000166170.7
ENSG00000110400.11,HAVANA,gene,,,protein_coding,NECTIN1,1,HGNC:9706,OTTHUMG00000166177.4
ENSG00000110422.12,HAVANA,gene,,,protein_coding,HIPK3,2,HGNC:4915,OTTHUMG00000132269.5
ENSG00000110427.17,HAVANA,gene,,,protein_coding,KIAA1549L,1,HGNC:24836,OTTHUMG00000150410.8
ENSG00000110429.14,HAVANA,gene,,,protein_coding,FBXO3,1,HGNC:13582,OTTHUMG00000166244.5
ENSG00000110436.13,HAVANA,gene,,,protein_coding,SLC1A2,1,HGNC:10940,OTTHUMG00000044391.14
ENSG00000110442.12,HAVANA,gene,,,protein_coding,COMMD9,1,HGNC:25014,OTTHUMG00000166333.3
ENSG00000110448.11,HAVANA,gene,,,protein_coding,CD5,2,HGNC:1685,OTTHUMG00000167825.4
ENSG00000110455.14,HAVANA,gene,,,protein_coding,ACCS,2,HGNC:23989,OTTHUMG00000166427.5
ENSG00000110484.7,HAVANA,gene,,,protein_coding,SCGB2A2,2,HGNC:7050,OTTHUMG00000167509.2
ENSG00000110514.19,HAVANA,gene,,,protein_coding,MADD,1,HGNC:6766,OTTHUMG00000150350.8
ENSG00000110536.14,HAVANA,gene,,,protein_coding,PTPMT1,2,HGNC:26965,OTTHUMG00000166892.4
ENSG00000110583.13,HAVANA,gene,,,protein_coding,NAA40,1,HGNC:25845,OTTHUMG00000167784.4
ENSG00000110619.18,HAVANA,gene,,,protein_coding,CARS1,2,HGNC:1493,OTTHUMG00000010927.9
ENSG00000110628.16,HAVANA,gene,,,protein_coding,SLC22A18,2,HGNC:10964,OTTHUMG00000010037.13
ENSG00000110651.12,HAVANA,gene,,,protein_coding,CD81,1,HGNC:1701,OTTHUMG00000009892.7
ENSG00000110660.15,HAVANA,gene,,,protein_coding,SLC35F2,2,HGNC:23615,OTTHUMG00000166366.4
ENSG00000110665.12,HAVANA,gene,,,protein_coding,C11orf21,1,HGNC:13231,OTTHUMG00000009759.6
ENSG00000110675.13,HAVANA,gene,,,protein_coding,ELMOD1,1,HGNC:25334,OTTHUMG00000166361.2
ENSG00000110680.13,HAVANA,gene,,,protein_coding,CALCA,2,HGNC:1437,OTTHUMG00000159731.3
ENSG00000110696.10,HAVANA,gene,,,protein_coding,C11orf58,1,HGNC:16990,OTTHUMG00000165910.6
ENSG00000110697.13,HAVANA,gene,,,protein_coding,PITPNM1,1,HGNC:9003,OTTHUMG00000167675.5
ENSG00000110700.7,HAVANA,gene,,,protein_coding,RPS13,2,HGNC:10386,OTTHUMG00000165988.5
ENSG00000110713.17,HAVANA,gene,,,protein_coding,NUP98,1,HGNC:8068,OTTHUMG00000011846.9
ENSG00000110717.13,HAVANA,gene,,,protein_coding,NDUFS8,1,HGNC:7715,OTTHUMG00000167331.4
ENSG00000110719.10,HAVANA,gene,,,protein_coding,TCIRG1,1,HGNC:11647,OTTHUMG00000167358.6
ENSG00000110721.12,HAVANA,gene,,,protein_coding,CHKA,1,HGNC:1937,OTTHUMG00000167424.5
ENSG00000110723.12,HAVANA,gene,,,protein_coding,EXPH5,1,HGNC:30578,OTTHUMG00000166536.6
ENSG00000110756.18,HAVANA,gene,,,protein_coding,HPS5,1,HGNC:17022,OTTHUMG00000166612.7
ENSG00000110768.12,HAVANA,gene,,,protein_coding,GTF2H1,1,HGNC:4655,OTTHUMG00000167690.7
ENSG00000110777.12,HAVANA,gene,,,protein_coding,POU2AF1,1,HGNC:9211,OTTHUMG00000166659.4
ENSG00000110786.18,HAVANA,gene,,,protein_coding,PTPN5,2,HGNC:9657,OTTHUMG00000134304.4
ENSG00000110799.14,HAVANA,gene,,,protein_coding,VWF,2,HGNC:12726,OTTHUMG00000168265.4
ENSG00000110801.14,HAVANA,gene,,,protein_coding,PSMD9,1,HGNC:9567,OTTHUMG00000168945.5
ENSG00000110811.20,HAVANA,gene,,,protein_coding,P3H3,2,HGNC:19318,OTTHUMG00000168516.6
ENSG00000110841.14,HAVANA,gene,,,protein_coding,PPFIBP1,2,HGNC:9249,OTTHUMG00000169207.3
ENSG00000110844.14,HAVANA,gene,,,protein_coding,PRPF40B,2,HGNC:25031,OTTHUMG00000169568.7
ENSG00000110848.8,HAVANA,gene,,,protein_coding,CD69,2,HGNC:1694,OTTHUMG00000168481.4
ENSG00000110851.12,HAVANA,gene,,,protein_coding,PRDM4,1,HGNC:9348,OTTHUMG00000169914.3
ENSG00000110871.15,HAVANA,gene,,,protein_coding,COQ5,1,HGNC:28722,OTTHUMG00000169375.6
ENSG00000110876.10,HAVANA,gene,,,protein_coding,SELPLG,1,HGNC:10722,OTTHUMG00000169411.1
ENSG00000110880.11,HAVANA,gene,,,protein_coding,CORO1C,2,HGNC:2254,OTTHUMG00000169381.3
ENSG00000110881.12,HAVANA,gene,,,protein_coding,ASIC1,1,HGNC:100,OTTHUMG00000169812.3
ENSG00000110887.8,HAVANA,gene,,,protein_coding,DAO,1,HGNC:2671,OTTHUMG00000169360.3
ENSG00000110900.16,HAVANA,gene,,,protein_coding,TSPAN11,2,HGNC:30795,OTTHUMG00000168484.2
ENSG00000110906.13,HAVANA,gene,,,protein_coding,KCTD10,1,HGNC:23236,OTTHUMG00000169253.5
ENSG00000110917.8,HAVANA,gene,,,protein_coding,MLEC,1,HGNC:28973,OTTHUMG00000169187.5
ENSG00000110921.14,HAVANA,gene,,,protein_coding,MVK,2,HGNC:7530,OTTHUMG00000169256.6
ENSG00000110925.7,HAVANA,gene,,,protein_coding,CSRNP2,1,HGNC:16006,OTTHUMG00000169578.7
ENSG00000110931.19,HAVANA,gene,,,protein_coding,CAMKK2,2,HGNC:1470,OTTHUMG00000169156.8
ENSG00000110934.13,HAVANA,gene,,,protein_coding,BIN2,1,HGNC:1053,OTTHUMG00000185197.4
ENSG00000110944.9,HAVANA,gene,,,protein_coding,IL23A,2,HGNC:15488,OTTHUMG00000187402.2
ENSG00000110955.9,HAVANA,gene,,,protein_coding,ATP5F1B,1,HGNC:830,OTTHUMG00000170291.6
ENSG00000110958.16,HAVANA,gene,,,protein_coding,PTGES3,2,HGNC:16049,OTTHUMG00000170217.3
ENSG00000110975.8,HAVANA,gene,,,protein_coding,SYT10,2,HGNC:19266,OTTHUMG00000169269.2
ENSG00000110987.9,HAVANA,gene,,,protein_coding,BCL7A,1,HGNC:1004,OTTHUMG00000168951.2
ENSG00000111011.18,HAVANA,gene,,,protein_coding,RSRC2,1,HGNC:30559,OTTHUMG00000167572.7
ENSG00000111012.10,HAVANA,gene,,,protein_coding,CYP27B1,2,HGNC:2606,OTTHUMG00000170457.4
ENSG00000111046.4,HAVANA,gene,,,protein_coding,MYF6,2,HGNC:7566,OTTHUMG00000170165.2
ENSG00000111049.4,HAVANA,gene,,,protein_coding,MYF5,2,HGNC:7565,OTTHUMG00000170166.2
ENSG00000111057.11,HAVANA,gene,,,protein_coding,KRT18,2,HGNC:6430,OTTHUMG00000169882.3
ENSG00000111058.8,HAVANA,gene,,,protein_coding,ACSS3,2,HGNC:24723,OTTHUMG00000170179.6
ENSG00000111077.18,HAVANA,gene,,,protein_coding,TNS2,1,HGNC:19737,OTTHUMG00000169730.13
ENSG00000111087.10,HAVANA,gene,,,protein_coding,GLI1,2,HGNC:4317,OTTHUMG00000167332.3
ENSG00000111110.12,HAVANA,gene,,,protein_coding,PPM1H,2,HGNC:18583,OTTHUMG00000169990.3
ENSG00000111142.14,HAVANA,gene,,,protein_coding,METAP2,1,HGNC:16672,OTTHUMG00000170280.3
ENSG00000111144.10,HAVANA,gene,,,protein_coding,LTA4H,2,HGNC:6710,OTTHUMG00000170355.2
ENSG00000111145.8,HAVANA,gene,,,protein_coding,ELK3,2,HGNC:3325,OTTHUMG00000170364.4
ENSG00000111186.13,HAVANA,gene,,,protein_coding,WNT5B,1,HGNC:16265,OTTHUMG00000090375.4
ENSG00000111196.10,HAVANA,gene,,,protein_coding,MAGOHB,2,HGNC:25504,OTTHUMG00000168407.3
ENSG00000111199.12,HAVANA,gene,,,protein_coding,TRPV4,2,HGNC:18083,OTTHUMG00000169277.3
ENSG00000111203.13,HAVANA,gene,,,protein_coding,ITFG2,2,HGNC:30879,OTTHUMG00000130617.5
ENSG00000111206.13,HAVANA,gene,,,protein_coding,FOXM1,2,HGNC:3818,OTTHUMG00000168118.2
ENSG00000111215.12,HAVANA,gene,,,protein_coding,PRR4,2,HGNC:18020,OTTHUMG00000192575.1
ENSG00000111218.12,HAVANA,gene,,,protein_coding,PRMT8,2,HGNC:5188,OTTHUMG00000128493.6
ENSG00000111224.14,HAVANA,gene,,,protein_coding,PARP11,2,HGNC:1186,OTTHUMG00000156442.6
ENSG00000111229.16,HAVANA,gene,,,protein_coding,ARPC3,2,HGNC:706,OTTHUMG00000134333.5
ENSG00000111231.9,HAVANA,gene,,,protein_coding,GPN3,1,HGNC:30186,OTTHUMG00000169524.6
ENSG00000111237.19,HAVANA,gene,,,protein_coding,VPS29,1,HGNC:14340,OTTHUMG00000169527.5
ENSG00000111245.17,HAVANA,gene,,,protein_coding,MYL2,2,HGNC:7583,OTTHUMG00000169535.5
ENSG00000111247.15,HAVANA,gene,,,protein_coding,RAD51AP1,1,HGNC:16956,OTTHUMG00000168125.5
ENSG00000111249.14,HAVANA,gene,,,protein_coding,CUX2,2,HGNC:19347,OTTHUMG00000169546.4
ENSG00000111252.11,HAVANA,gene,,,protein_coding,SH2B3,1,HGNC:29605,OTTHUMG00000169550.6
ENSG00000111254.8,HAVANA,gene,,,protein_coding,AKAP3,1,HGNC:373,OTTHUMG00000168226.5
ENSG00000111261.14,HAVANA,gene,,,protein_coding,MANSC1,2,HGNC:25505,OTTHUMG00000168541.4
ENSG00000111262.6,HAVANA,gene,,,protein_coding,KCNA1,2,HGNC:6218,OTTHUMG00000044398.5
ENSG00000111266.9,HAVANA,gene,,,protein_coding,DUSP16,2,HGNC:17909,OTTHUMG00000168582.5
ENSG00000111269.3,HAVANA,gene,,,protein_coding,CREBL2,2,HGNC:2350,OTTHUMG00000168704.2
ENSG00000111271.15,HAVANA,gene,,,protein_coding,ACAD10,1,HGNC:21597,OTTHUMG00000169602.4
ENSG00000111275.13,HAVANA,gene,,,protein_coding,ALDH2,2,HGNC:404,OTTHUMG00000169603.5
ENSG00000111291.8,HAVANA,gene,,,protein_coding,GPRC5D,2,HGNC:13310,OTTHUMG00000168711.4
ENSG00000111300.10,HAVANA,gene,,,protein_coding,NAA25,2,HGNC:25783,OTTHUMG00000169638.4
ENSG00000111305.19,HAVANA,gene,,,protein_coding,GSG1,2,HGNC:19716,OTTHUMG00000150148.5
ENSG00000111319.13,HAVANA,gene,,,protein_coding,SCNN1A,1,HGNC:10599,OTTHUMG00000168268.3
ENSG00000111321.11,HAVANA,gene,,,protein_coding,LTBR,1,HGNC:6718,OTTHUMG00000168356.4
ENSG00000111325.16,HAVANA,gene,,,protein_coding,OGFOD2,1,HGNC:25823,OTTHUMG00000168778.2
ENSG00000111328.7,HAVANA,gene,,,protein_coding,CDK2AP1,1,HGNC:14002,OTTHUMG00000168854.5
ENSG00000111339.12,HAVANA,gene,,,protein_coding,ART4,2,HGNC:726,OTTHUMG00000168738.3
ENSG00000111341.10,HAVANA,gene,,,protein_coding,MGP,1,HGNC:7060,OTTHUMG00000168740.2
ENSG00000111348.9,HAVANA,gene,,,protein_coding,ARHGDIB,2,HGNC:679,OTTHUMG00000168742.4
ENSG00000111358.14,HAVANA,gene,,,protein_coding,GTF2H3,2,HGNC:4657,OTTHUMG00000168697.4
ENSG00000111361.13,HAVANA,gene,,,protein_coding,EIF2B1,1,HGNC:3257,OTTHUMG00000168696.2
ENSG00000111364.16,HAVANA,gene,,,protein_coding,DDX55,2,HGNC:20085,OTTHUMG00000168695.3
ENSG00000111371.16,HAVANA,gene,,,protein_coding,SLC38A1,1,HGNC:13447,OTTHUMG00000169470.4
ENSG00000111404.7,HAVANA,gene,,,protein_coding,RERGL,2,HGNC:26213,OTTHUMG00000168820.2
ENSG00000111405.9,HAVANA,gene,,,protein_coding,ENDOU,1,HGNC:14369,OTTHUMG00000169670.3
ENSG00000111412.6,HAVANA,gene,,,protein_coding,SPRING1,2,HGNC:26128,OTTHUMG00000169392.3
ENSG00000111424.12,HAVANA,gene,,,protein_coding,VDR,1,HGNC:12679,OTTHUMG00000169890.4
ENSG00000111445.14,HAVANA,gene,,,protein_coding,RFC5,2,HGNC:9973,OTTHUMG00000156438.5
ENSG00000111450.14,HAVANA,gene,,,protein_coding,STX2,2,HGNC:3403,OTTHUMG00000168365.3
ENSG00000111452.13,HAVANA,gene,,,protein_coding,ADGRD1,1,HGNC:19893,OTTHUMG00000168339.5
ENSG00000111481.10,HAVANA,gene,,,protein_coding,COPZ1,2,HGNC:2243,OTTHUMG00000169762.3
ENSG00000111490.15,HAVANA,gene,,,protein_coding,TBC1D30,2,HGNC:29164,OTTHUMG00000168824.5
ENSG00000111530.13,HAVANA,gene,,,protein_coding,CAND1,1,HGNC:30688,OTTHUMG00000169060.3
ENSG00000111536.5,HAVANA,gene,,,protein_coding,IL26,2,HGNC:17119,OTTHUMG00000169114.2
ENSG00000111537.5,HAVANA,gene,,,protein_coding,IFNG,2,HGNC:5438,OTTHUMG00000169113.2
ENSG00000111540.16,HAVANA,gene,,,protein_coding,RAB5B,1,HGNC:9784,OTTHUMG00000169682.4
ENSG00000111581.10,HAVANA,gene,,,protein_coding,NUP107,1,HGNC:29914,OTTHUMG00000169265.4
ENSG00000111596.14,HAVANA,gene,,,protein_coding,CNOT2,1,HGNC:7878,OTTHUMG00000169481.8
ENSG00000111602.12,HAVANA,gene,,,protein_coding,TIMELESS,2,HGNC:11813,OTTHUMG00000170600.6
ENSG00000111605.18,HAVANA,gene,,,protein_coding,CPSF6,2,HGNC:13871,OTTHUMG00000169340.4
ENSG00000111615.14,HAVANA,gene,,,protein_coding,KRR1,2,HGNC:5176,OTTHUMG00000169759.4
ENSG00000111639.8,HAVANA,gene,,,protein_coding,MRPL51,1,HGNC:14044,OTTHUMG00000168512.5
ENSG00000111640.15,HAVANA,gene,,,protein_coding,GAPDH,2,HGNC:4141,OTTHUMG00000137379.3
ENSG00000111641.12,HAVANA,gene,,,protein_coding,NOP2,1,HGNC:7867,OTTHUMG00000169163.2
ENSG00000111642.16,HAVANA,gene,,,protein_coding,CHD4,2,HGNC:1919,OTTHUMG00000169164.13
ENSG00000111644.8,HAVANA,gene,,,protein_coding,ACRBP,1,HGNC:17195,OTTHUMG00000168715.3
ENSG00000111647.13,HAVANA,gene,,,protein_coding,UHRF1BP1L,2,HGNC:29102,OTTHUMG00000170195.4
ENSG00000111652.10,HAVANA,gene,,,protein_coding,COPS7A,1,HGNC:16758,OTTHUMG00000169182.4
ENSG00000111653.20,HAVANA,gene,,,protein_coding,ING4,2,HGNC:19423,OTTHUMG00000141274.7
ENSG00000111664.11,HAVANA,gene,,,protein_coding,GNB3,2,HGNC:4400,OTTHUMG00000168517.4
ENSG00000111665.12,HAVANA,gene,,,protein_coding,CDCA3,1,HGNC:14624,OTTHUMG00000169014.2
ENSG00000111666.11,HAVANA,gene,,,protein_coding,CHPT1,1,HGNC:17852,OTTHUMG00000170443.3
ENSG00000111667.14,HAVANA,gene,,,protein_coding,USP5,2,HGNC:12628,OTTHUMG00000169233.2
ENSG00000111669.15,HAVANA,gene,,,protein_coding,TPI1,2,HGNC:12009,OTTHUMG00000133767.4
ENSG00000111670.16,HAVANA,gene,,,protein_coding,GNPTAB,2,HGNC:29670,OTTHUMG00000170444.3
ENSG00000111671.10,HAVANA,gene,,,protein_coding,SPSB2,2,HGNC:29522,OTTHUMG00000156665.4
ENSG00000111674.9,HAVANA,gene,,,protein_coding,ENO2,1,HGNC:3353,OTTHUMG00000168967.5
ENSG00000111676.15,HAVANA,gene,,,protein_coding,ATN1,2,HGNC:3033,OTTHUMG00000169015.4
ENSG00000111678.11,HAVANA,gene,,,protein_coding,C12orf57,1,HGNC:29521,OTTHUMG00000169017.4
ENSG00000111679.17,HAVANA,gene,,,protein_coding,PTPN6,1,HGNC:9658,OTTHUMG00000168518.4
ENSG00000111684.11,HAVANA,gene,,,protein_coding,LPCAT3,2,HGNC:30244,OTTHUMG00000168970.3
ENSG00000111696.12,HAVANA,gene,,,protein_coding,NT5DC3,2,HGNC:30826,OTTHUMG00000157017.3
ENSG00000111700.13,HAVANA,gene,,,protein_coding,SLCO1B3,2,HGNC:10961,OTTHUMG00000169011.5
ENSG00000111701.7,HAVANA,gene,,,protein_coding,APOBEC1,2,HGNC:604,OTTHUMG00000141288.4
ENSG00000111704.11,HAVANA,gene,,,protein_coding,NANOG,2,HGNC:20857,OTTHUMG00000166019.5
ENSG00000111707.12,HAVANA,gene,,,protein_coding,SUDS3,2,HGNC:29545,OTTHUMG00000168884.2
ENSG00000111711.10,HAVANA,gene,,,protein_coding,GOLT1B,1,HGNC:20175,OTTHUMG00000169133.3
ENSG00000111713.3,HAVANA,gene,,,protein_coding,GYS2,2,HGNC:4707,OTTHUMG00000169135.4
ENSG00000111716.14,HAVANA,gene,,,protein_coding,LDHB,2,HGNC:6541,OTTHUMG00000133760.5
ENSG00000111725.11,HAVANA,gene,,,protein_coding,PRKAB1,1,HGNC:9378,OTTHUMG00000168954.5
ENSG00000111726.13,HAVANA,gene,,,protein_coding,CMAS,2,HGNC:18290,OTTHUMG00000169097.3
ENSG00000111727.12,HAVANA,gene,,,protein_coding,HCFC2,1,HGNC:24972,OTTHUMG00000170175.4
ENSG00000111732.11,HAVANA,gene,,,protein_coding,AICDA,2,HGNC:13203,OTTHUMG00000168676.3
ENSG00000111737.12,HAVANA,gene,,,protein_coding,RAB35,2,HGNC:9774,OTTHUMG00000169159.5
ENSG00000111752.11,HAVANA,gene,,,protein_coding,PHC1,2,HGNC:3182,OTTHUMG00000168275.3
ENSG00000111775.3,HAVANA,gene,,,protein_coding,COX6A1,2,HGNC:2277,OTTHUMG00000047791.4
ENSG00000111783.13,HAVANA,gene,,,protein_coding,RFX4,2,HGNC:9985,OTTHUMG00000169173.5
ENSG00000111785.21,HAVANA,gene,,,protein_coding,RIC8B,1,HGNC:25555,OTTHUMG00000144188.10
ENSG00000111786.9,HAVANA,gene,,,protein_coding,SRSF9,2,HGNC:10791,OTTHUMG00000047790.5
ENSG00000111790.14,HAVANA,gene,,,protein_coding,FGFR1OP2,1,HGNC:23098,OTTHUMG00000169231.3
ENSG00000111796.4,HAVANA,gene,,,protein_coding,KLRB1,2,HGNC:6373,OTTHUMG00000168581.2
ENSG00000111801.16,HAVANA,gene,,,protein_coding,BTN3A3,2,HGNC:1140,OTTHUMG00000014451.6
