;seminoma vs non-seminoma Fold Change;seminoma vs non-seminoma pval;seminoma vs non-seminoma fdr;seminoma vs non-seminoma significant;embryonal vs seminoma Fold Change;embryonal vs seminoma pval;embryonal vs seminoma fdr;embryonal vs seminoma significant;embryonal vs non_embryonal_non_seminoma Fold Change;embryonal vs non_embryonal_non_seminoma pval;embryonal vs non_embryonal_non_seminoma fdr;embryonal vs non_embryonal_non_seminoma significant;teratoma vs non-teratoma Fold Change;teratoma vs non-teratoma pval;teratoma vs non-teratoma fdr;teratoma vs non-teratoma significant;KIT-mutated seminoma vs KIT-wildtype seminoma Fold Change;KIT-mutated seminoma vs KIT-wildtype seminoma pval;KIT-mutated seminoma vs KIT-wildtype seminoma fdr;KIT-mutated seminoma vs KIT-wildtype seminoma significant
hsa-mir-103a-1, mature,MIMAT0000101;1.1906341356178567;1.2287342807291894e-05;2.6239422382023337e-05;True;-1.110487462390276;0.22198841646409082;0.27933542405064765;False;-1.8814115964693916;6.658333816815127e-05;0.00040763197876609003;True;1.3615186016958778;0.08344796348006912;0.14679851167174465;False;1.067741534928612;0.12829179069954444;0.2325865558006129;False
hsa-mir-103a-2, mature,MIMAT0009196;;;;;;;;;;;;;;;;;;;;
hsa-mir-105-1, mature,MIMAT0000102;-86.99624213781178;1.9724204471633602e-12;6.528711680110722e-11;True;-109.77282546102937;9.230713726586637e-13;4.646125909048607e-11;True;-1.8755320548933987;0.15559813457344843;0.1964852356292451;False;-13.132557513016517;1.139790117093508e-10;1.740770360651903e-09;True;-1.504847582856163;0.29687083918449636;0.46466740046269;False
hsa-mir-105-1, mature,MIMAT0004516;;;;;;;;;;;;;;;;;;;;
hsa-mir-106a, mature,MIMAT0000103;6.900257668069685;1.0251299283964926e-10;1.2118500224972823e-09;True;5.850447990059372;0.00012892797330921405;0.00039730865244268004;True;1.6836264063644804;0.6300988641411341;0.6646774603440013;False;1.7155697695485541;0.9830945576409185;0.9845152456715016;False;;;;
hsa-mir-106a, mature,MIMAT0004517;;;;;;;;;;;;;;;;;;;;
hsa-mir-106b, mature,MIMAT0000680;1.022102711046952;0.6203486974668664;0.649795629308648;False;-1.2025126224140148;0.05126953368490408;0.07940204704021042;False;-1.2876931202804252;0.0756392952326652;0.10510520542370345;False;-1.6607607893367018;0.06873792039255798;0.13358656251810877;False;-1.2864263912623755;0.05138180355992478;0.11560905800983075;False
hsa-mir-106b, mature,MIMAT0004672;1.1407835257594423;0.9634742187966101;0.9663938376414483;False;-1.0715638635313989;0.30960767321088434;0.3666726169007336;False;-1.4291182159445728;0.18759167267286372;0.23098476421640873;False;-2.082348061737399;0.01455026092013992;0.04074073057639178;True;-1.4293081134757986;0.00012958777396483427;0.0013062447615655294;True
hsa-mir-107, mature,MIMAT0000104;-1.0315605823074374;0.41872156473170985;0.4529308428960652;False;-1.1112782134848482;0.1119978142846028;0.15444447449292256;False;-1.0364364590665878;0.048827325447133384;0.07098426304499222;False;-1.0653629745590645;0.9660734730454937;0.9806667279253349;False;1.0469217509697095;0.774997239693625;0.8565758965034802;False
hsa-mir-10a, mature,MIMAT0000253;-1.3132247298175501;0.6305347970384823;0.6563113767916278;False;-5.522400356579293;8.162658926155981e-06;4.7406211455752044e-05;True;-5.332295833923464;0.0041074087201973;0.0096741897008272;True;3.0206562150004825;0.11552975584171797;0.18224412189116077;False;2.7413690374065003;0.0017363199035186191;0.007707470324111925;True
hsa-mir-10a, mature,MIMAT0004555;;;;;;;;;;;;;;;;;;;;
hsa-mir-10b, mature,MIMAT0000254;-1.494212770240921;0.23690844548641996;0.273228904027892;False;-1.3245888353275874;0.5194113888933668;0.5745869576769113;False;1.24250847749585;0.11781552557359476;0.15440974185024162;False;1.0194541703001299;0.7424598684679368;0.7771542548449432;False;-1.0274520168093866;0.6987932141850819;0.8004358635210937;False
hsa-mir-10b, mature,MIMAT0004556;;;;;;;;;;;;;;;;;;;;
hsa-mir-1178, mature,MIMAT0005823;;;;;;;;;;;;;;;;;;;;
hsa-mir-1179, mature,MIMAT0005824;;;;;;;;;;;;;;;;;;;;
hsa-mir-1180, mature,MIMAT0005825;1.1747767766647856;0.010991657021792136;0.015159326975888322;True;;;;;-2.5987840048369084;0.00013015848333971334;0.0006754782960733687;True;2.0710929584824442;0.15043130587009762;0.22168824022961753;False;;;;
hsa-mir-1180, mature,MIMAT0026735;;;;;;;;;;;;;;;;;;;;
hsa-mir-1181, mature,MIMAT0005826;;;;;;;;;;;;;;;;;;;;
hsa-mir-1182, mature,MIMAT0005827;;;;;;;;;;;;;;;;;;;;
hsa-mir-1185-1, mature,MIMAT0005798;;;;;;;;;;;;;;;;;;;;
hsa-mir-1185-1, mature,MIMAT0022838;;;;;;;;;;;;;;;;;;;;
hsa-mir-1185-2, mature,MIMAT0022713;;;;;;;;;;;;;;;;;;;;
hsa-mir-1193, mature,MIMAT0015049;;;;;;;;;;;;;;;;;;;;
hsa-mir-1197, mature,MIMAT0005955;;;;;;;;;;;;;;;;;;;;
hsa-mir-1200, mature,MIMAT0005863;;;;;;;;;;;;;;;;;;;;
hsa-mir-122, mature,MIMAT0000421;19.369672072180926;0.00020253154472994327;0.00034734684614306333;True;;;;;-14.144099094342637;0.06434975571169248;0.09050819299286827;False;2.262517324928214;0.027960363132486184;0.06959023712974338;False;;;;
hsa-mir-122, mature,MIMAT0004590;;;;;;;;;;;;;;;;;;;;
hsa-mir-1224, mature,MIMAT0005458;;;;;;;;;;;;;;;;;;;;
hsa-mir-1224, mature,MIMAT0005459;;;;;;;;;;;;;;;;;;;;
hsa-mir-1225, mature,MIMAT0005572;;;;;;;;;;;;;;;;;;;;
hsa-mir-1225, mature,MIMAT0005573;;;;;;;;;;;;;;;;;;;;
hsa-mir-1226, mature,MIMAT0005576;;;;;;;;;;;;;;;;;;;;
hsa-mir-1226, mature,MIMAT0005577;;;;;;;;;;;;;;;;;;;;
hsa-mir-1227, mature,MIMAT0005580;;;;;;;;;;;;;;;;;;;;
hsa-mir-1227, mature,MIMAT0022941;;;;;;;;;;;;;;;;;;;;
hsa-mir-1228, mature,MIMAT0005582;;;;;;;;;;;;;;;;;;;;
hsa-mir-1228, mature,MIMAT0005583;;;;;;;;;;;;;;;;;;;;
hsa-mir-1229, mature,MIMAT0005584;;;;;;;;;;;;;;;;;;;;
hsa-mir-1229, mature,MIMAT0022942;;;;;;;;;;;;;;;;;;;;
hsa-mir-1231, mature,MIMAT0005586;;;;;;;;;;;;;;;;;;;;
hsa-mir-1234, mature,MIMAT0005589;;;;;;;;;;;;;;;;;;;;
hsa-mir-1236, mature,MIMAT0005591;;;;;;;;;;;;;;;;;;;;
hsa-mir-1236, mature,MIMAT0022945;;;;;;;;;;;;;;;;;;;;
hsa-mir-1237, mature,MIMAT0005592;;;;;;;;;;;;;;;;;;;;
hsa-mir-1237, mature,MIMAT0022946;;;;;;;;;;;;;;;;;;;;
hsa-mir-1238, mature,MIMAT0005593;;;;;;;;;;;;;;;;;;;;
hsa-mir-1238, mature,MIMAT0022947;;;;;;;;;;;;;;;;;;;;
hsa-mir-124-1, mature,MIMAT0000422;;;;;;;;;;;;;;;;;;;;
hsa-mir-124-1, mature,MIMAT0004591;;;;;;;;;;;;;;;;;;;;
hsa-mir-1243, mature,MIMAT0005894;;;;;;;;;;;;;;;;;;;;
hsa-mir-1245a, mature,MIMAT0005897;;;;;;;;;;;;;;;;;;;;
hsa-mir-1245b, mature,MIMAT0019950;;;;;;;;;;;;;;;;;;;;
hsa-mir-1245b, mature,MIMAT0019951;;;;;;;;;;;;;;;;;;;;
hsa-mir-1246, mature,MIMAT0005898;;;;;;;;;;;;;;;;;;;;
hsa-mir-1247, mature,MIMAT0005899;6.278256106554058;3.142752901667935e-06;7.648905959206517e-06;True;;;;;-11.157118096356077;0.0028554885233807448;0.007541977321295707;True;8.139519790012995;0.051607944059047416;0.10711699725415796;False;;;;
hsa-mir-1247, mature,MIMAT0022721;5.672075301941991;0.00012014845609837138;0.00021153797323702618;True;;;;;-9.684314717319305;0.010773275462732079;0.020594217182902205;True;7.282908863536918;0.06865202642876075;0.13358656251810877;False;;;;
hsa-mir-1248, mature,MIMAT0005900;;;;;;;;;;;;;;;;;;;;
hsa-mir-1249, mature,MIMAT0005901;;;;;;;;;;;;;;;;;;;;
hsa-mir-1249, mature,MIMAT0032029;;;;;;;;;;;;;;;;;;;;
hsa-mir-1250, mature,MIMAT0005902;;;;;;;;;;;;;;;;;;;;
hsa-mir-1250, mature,MIMAT0026740;;;;;;;;;;;;;;;;;;;;
hsa-mir-1251, mature,MIMAT0005903;;;;;;;;;-6.975410062053332;0.03473543834190532;0.05438217948551692;False;11.346658894984952;0.1848605163387999;0.2566658408670941;False;;;;
hsa-mir-1251, mature,MIMAT0026741;;;;;;;;;;;;;;;;;;;;
hsa-mir-1252, mature,MIMAT0005944;;;;;;;;;;;;;;;;;;;;
hsa-mir-1252, mature,MIMAT0026744;;;;;;;;;;;;;;;;;;;;
hsa-mir-1253, mature,MIMAT0005904;;;;;;;;;;;;;;;;;;;;
hsa-mir-1254-1, mature,MIMAT0005905;;;;;;;;;;;;;;;;;;;;
hsa-mir-1255a, mature,MIMAT0005906;;;;;;;;;;;;;;;;;;;;
hsa-mir-1256, mature,MIMAT0005907;;;;;;;;;;;;;;;;;;;;
hsa-mir-1257, mature,MIMAT0005908;;;;;;;;;;;;;;;;;;;;
hsa-mir-1258, mature,MIMAT0005909;;;;;;;;;;;;;;;;;;;;
hsa-mir-125a, mature,MIMAT0000443;-1.1615580781591064;0.38084052229923804;0.41741130093062184;False;-2.0221049789357335;8.379983034571982e-08;8.726740953243926e-07;True;-2.41151719596326;4.625093317866267e-05;0.0003333921433295268;True;1.2847352856561896;0.10116469887783755;0.16420936629446095;False;-1.0348812768008266;0.7826961429236587;0.8575627305076609;False
hsa-mir-125a, mature,MIMAT0004602;;;;;;;;;;;;;;;;;;;;
hsa-mir-125b-1, mature,MIMAT0000423;2.2962488261297036;7.956916448074099e-07;2.2417765221925565e-06;True;1.7290819602590826;0.00736901317821493;0.01473802635642986;True;-3.319368523019809;0.002418473882647018;0.006803186694275351;True;7.135398713475206;0.013060732633558168;0.037831087628237454;True;1.1194668735615683;0.7746120915904305;0.8565758965034802;False
hsa-mir-125b-1, mature,MIMAT0004592;;;;;;;;;;;;;;;;;;;;
hsa-mir-125b-2, mature,MIMAT0004603;2.918428547298323;6.051959405574367e-06;1.3731945753008873e-05;True;;;;;-4.265161216435347;0.002933810927994165;0.00763232015854121;True;7.509753892743661;0.038772412740121415;0.08730171340902479;False;;;;
hsa-mir-126, mature,MIMAT0000444;1.156102708757567;0.7221112416178044;0.7469338155484163;False;1.3295286562766884;0.1423476069433042;0.19004718194569847;False;1.2111976593555345;0.23299806384749935;0.2838638383494182;False;1.0708926471995124;0.6668681220764101;0.7120383851809416;False;-1.2018184487537875;0.0538645842702249;0.12012278969997056;False
hsa-mir-126, mature,MIMAT0000445;1.23659642151711;0.399773548214988;0.4352797515103981;False;1.242719199693382;0.5518741740033599;0.6060581838145989;False;1.0184737731970155;0.863293309511928;0.8863486204484483;False;1.4500063921602422;0.7271548455646475;0.7637701167527515;False;-1.1947808518442713;0.07314949317876457;0.15109567443482516;False
hsa-mir-1260a, mature,MIMAT0005911;;;;;;;;;;;;;;;;;;;;
hsa-mir-1260b, mature,MIMAT0015041;;;;;;;;;;;;;;;;;;;;
hsa-mir-1262, mature,MIMAT0005914;;;;;;;;;;;;;;;;;;;;
hsa-mir-1263, mature,MIMAT0005915;;;;;;;;;;;;;;;;;;;;
hsa-mir-1264, mature,MIMAT0005791;;;;;;;;;;;;;;;;;;;;
hsa-mir-1265, mature,MIMAT0005918;;;;;;;;;;;;;;;;;;;;
hsa-mir-1266, mature,MIMAT0005920;;;;;;;;;;;;;;;;;;;;
hsa-mir-1266, mature,MIMAT0026742;;;;;;;;;;;;;;;;;;;;
hsa-mir-1267, mature,MIMAT0005921;;;;;;;;;;;;;;;;;;;;
hsa-mir-1268b, mature,MIMAT0018925;;;;;;;;;;;;;;;;;;;;
hsa-mir-1269a, mature,MIMAT0005923;10.843671055480943;3.9491899013710645e-07;1.2103535716239096e-06;True;-2.096502611196749;0.1415188329376469;0.19004718194569847;False;-53.42504208146653;0.0807159791979581;0.111710915209974;False;-1.4862375761080453;0.7930072977160223;0.8198475447156415;False;;;;
